"Município";"2024/Mai";"2024/Jun";"2024/Jul";"2024/Ago";"2024/Set";"2024/Out";"2024/Nov";"2024/Dez";"2025/Jan";"2025/Fev";"2025/Mar";"2025/Abr";"2025/Mai";"2025/Jun";"2025/Jul";"2025/Ago";"2025/Set";"2025/Out";"2025/Nov";"2025/Dez";"2026/Jan";"2026/Fev";"Total"
"130002 ALVARAES";30445,29;36457,99;36273,91;28555,74;36810,44;32289,79;34148,31;32663,40;32619,43;32808,53;38154,41;108498,10;32231,26;43878,70;43391,90;34408,09;45556,97;30522,61;95033,30;34172,02;31337,68;-;870257,87
"130006 AMATURA";12309,08;7399,28;10980,79;9434,96;11218,34;10794,50;10665,48;8066,72;19781,35;22091,52;22626,03;27007,46;41626,60;47220,81;51077,04;47808,41;40972,31;42807,30;78006,51;33667,32;31924,83;27234,84;614721,48
"130008 ANAMA";47442,14;48089,90;42213,59;26557,23;38833,30;37736,50;30629,94;11798,37;30422,22;28724,48;27332,38;28883,65;31827,60;37968,51;46128,33;41317,54;36677,04;39632,12;45019,55;56358,26;43069,48;32544,90;809207,03
"130010 ANORI";59927,31;19717,19;69121,01;79963,46;28971,72;43693,63;46193,70;7901,07;97404,21;45267,95;62797,65;58701,51;45245,60;27795,32;33955,95;33383,06;20853,18;22470,49;32205,74;24541,18;29330,90;19346,11;908787,94
"130014 APUI";30017,62;31897,24;37494,42;42525,77;19238,41;45375,67;42864,66;7616,92;23407,37;24473,16;7374,18;32865,96;26052,47;47851,15;40749,65;40919,24;36456,59;56390,01;25033,34;38581,00;27071,25;65361,40;749617,48
"130020 ATALAIA DO NORTE";29887,24;22426,64;25335,32;29463,81;94115,05;28007,71;20939,72;28477,34;28689,35;74357,72;34788,43;34338,47;27853,08;56588,62;32731,51;38738,89;34162,44;79270,51;36606,73;25477,45;28359,23;35528,32;846143,58
"130030 AUTAZES";65234,97;51663,40;40415,04;65395,34;62569,41;47732,33;38816,26;57551,62;60195,00;48402,70;61464,72;68020,03;57032,96;56465,76;56321,80;62766,51;58714,95;102621,56;89905,03;85980,62;73531,53;72166,28;1382967,82
"130040 BARCELOS";25177,22;34019,27;23597,39;31530,88;27851,97;30695,19;30235,76;24218,96;25487,66;27343,71;23330,02;31075,44;30005,71;31895,81;25134,85;35190,54;27292,42;34262,86;31275,83;32219,30;28936,28;-;610777,07
"130050 BARREIRINHA";60019,64;53246,85;48093,01;49164,34;59092,79;58508,11;56157,25;57760,32;39023,24;46643,64;59542,65;44995,13;59631,65;40422,22;41213,33;51281,26;50192,85;52691,89;50073,71;53702,79;45895,03;51765,41;1129117,11
"130060 BENJAMIN CONSTANT";48028,72;40081,10;56874,83;77344,37;102067,56;86025,20;86696,21;67021,90;91198,49;85425,49;97479,27;122986,33;130936,99;107628,49;103050,98;104437,67;106372,08;106366,13;98203,32;92270,35;-;-;1810495,48
"130063 BERURI";24500,78;26068,06;27407,30;22217,19;89253,79;33496,09;25445,32;21282,48;33361,28;35809,55;33115,72;31212,09;19864,34;43602,55;40191,75;35964,11;36758,34;36930,83;41588,08;44359,07;34925,03;-;737353,75
"130068 BOA VISTA DO RAMOS";34031,01;19831,81;20471,99;33696,06;35990,58;39499,01;19485,74;30879,47;30059,84;26900,54;25271,84;35413,39;32611,94;33031,62;33710,20;38640,94;28782,61;26780,77;25706,60;20572,53;23666,75;22136,08;637171,32
"130070 BOCA DO ACRE";105501,76;145100,28;127716,67;64589,25;66795,82;75187,12;43157,13;43437,78;35534,68;32396,88;42580,00;86818,49;58991,38;54967,94;48680,54;49915,34;48308,50;53613,39;50286,82;76961,60;36421,82;-;1346963,19
"130080 BORBA";62618,23;63170,89;53997,63;55738,85;129119,39;56200,02;58102,07;53544,27;70131,96;45733,65;53519,01;56877,88;71043,65;54178,74;52321,82;71095,59;171097,77;59139,25;-;-;-;-;1237630,67
"130083 CAAPIRANGA";19972,16;60249,52;23051,67;26521,42;21406,61;18360,60;11966,73;13622,25;16745,42;16218,62;16003,88;13483,92;21087,29;20815,56;25079,58;18649,49;16876,87;24612,32;21249,56;20547,94;23133,65;21973,32;471628,38
"130090 CANUTAMA";26266,22;29539,40;22555,97;27199,49;27802,64;23403,22;27102,91;49963,50;24874,23;20685,06;22225,32;29684,37;33340,73;26612,43;21085,47;24775,65;20160,14;17935,64;19377,39;14939,22;22487,54;-;532016,54
"130100 CARAUARI";63985,56;152682,73;272741,83;73907,48;62456,34;66330,16;72419,55;161994,46;66262,87;72033,47;61624,47;66285,33;69250,30;71332,40;151376,00;129290,22;98797,19;92563,59;66760,67;76145,20;65886,18;118384,24;2132510,24
